0.000000,
0.160000,
0.320000,
0.480000,
0.640000,
0.800000,
0.960000,
1.120000,
1.280000,
1.480000,
1.640000,
1.840000,
2.040000,
2.280000,
2.480000,
2.680000,
2.880000,
3.080000,
3.320000,
3.520000,
3.680000,
3.840000,
4.000000,
4.160000,
4.320000,
4.480000,
4.640000,
4.800000,
4.960000,
5.120000,
5.160000,
